bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:P78329	Cytochrome P450 4F2		GO:0003095		UniProt	NCBITaxon:9606	IEP		PANTHER:PTHR24291	protein	UniProtKB:P78329	PMID:10660572	20120127	CYP4F2	Homo sapiens	biological regulation,biological_process,regulation of biological quality,renal system process involved in regulation of systemic arterial blood pressure,pressure natriuresis,regulation of systemic arterial blood pressure,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,regulation of body fluid levels,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,renal system process involved in regulation of systemic arterial blood pressure,pressure natriuresis,regulation of systemic arterial blood pressure,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,regulation of body fluid levels,multicellular organismal process	pressure natriuresis			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:Q9HCS2	Cytochrome P450 4F12		GO:0003095		UniProt	NCBITaxon:9606	ISS	UniProtKB:P78329	PANTHER:PTHR24291	protein	UniProtKB:Q9HCS2	GO_REF:0000024	20120130	CYP4F12	Homo sapiens	biological regulation,biological_process,regulation of biological quality,renal system process involved in regulation of systemic arterial blood pressure,pressure natriuresis,regulation of systemic arterial blood pressure,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,regulation of body fluid levels,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,renal system process involved in regulation of systemic arterial blood pressure,pressure natriuresis,regulation of systemic arterial blood pressure,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,regulation of body fluid levels,multicellular organismal process	pressure natriuresis			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:P02766	Transthyretin		GO:0003105		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P07309,ensembl:ENSMUSP00000074783	PANTHER:PTHR10395	protein	UniProtKB:P02766	GO_REF:0000107	20250313	TTR	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,negative regulation of biological process,regulation of blood pressure,circulatory system process,renal system process,negative regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,negative regulation of multicellular organismal process,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,glomerular filtration,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,negative regulation of biological process,regulation of blood pressure,circulatory system process,renal system process,negative regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,renal filtration,negative regulation of multicellular organismal process,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	negative regulation of glomerular filtration			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:P80365	11-beta-hydroxysteroid dehydrogenase type 2		GO:0002017		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P50233,ensembl:ENSRNOP00000023130	PANTHER:PTHR43313	protein	UniProtKB:P80365	GO_REF:0000107	20250313	HSD11B2	Homo sapiens	biological regulation,biological_process,regulation of biological quality,renal system process involved in regulation of systemic arterial blood pressure,positive regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,blood circulation,regulation of systemic arterial blood pressure mediated by a chemical signal,regulation of blood pressure,regulation of systemic arterial blood pressure by hormone,circulatory system process,positive regulation of blood pressure,renal system process,regulation of blood volume by renal aldosterone,system process,renal system process involved in regulation of blood volume,regulation of body fluid levels,multicellular organismal process,endocrine process	biological regulation,biological_process,regulation of biological quality,renal system process involved in regulation of systemic arterial blood pressure,positive regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,blood circulation,regulation of systemic arterial blood pressure mediated by a chemical signal,regulation of blood pressure,regulation of systemic arterial blood pressure by hormone,circulatory system process,positive regulation of blood pressure,renal system process,regulation of blood volume by renal aldosterone,system process,renal system process involved in regulation of blood volume,regulation of body fluid levels,multicellular organismal process,endocrine process	regulation of blood volume by renal aldosterone			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:Q9UQ03	Coronin-2B		GO:0003093		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8BH44,ensembl:ENSMUSP00000041826	PANTHER:PTHR10856	protein	UniProtKB:Q9UQ03	GO_REF:0000107	20250313	CORO2B	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,glomerular filtration,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,renal filtration,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	regulation of glomerular filtration			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:P54851	Epithelial membrane protein 2		GO:0003093		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR10671	protein	UniProtKB:P54851	PMID:24814193	20140904	EMP2	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,glomerular filtration,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,renal filtration,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	regulation of glomerular filtration			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:P30542	Adenosine receptor A1		GO:0003093		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q60612,ensembl:ENSMUSP00000083656	PANTHER:PTHR24246	protein	UniProtKB:P30542	GO_REF:0000107	20250313	ADORA1	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,glomerular filtration,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,renal filtration,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	regulation of glomerular filtration			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:P19099	Cytochrome P450 11B2, mitochondrial		GO:0002017		BHF-UCL	NCBITaxon:9606	IMP		PANTHER:PTHR24279	protein	UniProtKB:P19099	PMID:14614232	20080812	CYP11B2	Homo sapiens	biological regulation,biological_process,regulation of biological quality,renal system process involved in regulation of systemic arterial blood pressure,positive regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,blood circulation,regulation of systemic arterial blood pressure mediated by a chemical signal,regulation of blood pressure,regulation of systemic arterial blood pressure by hormone,circulatory system process,positive regulation of blood pressure,renal system process,regulation of blood volume by renal aldosterone,system process,renal system process involved in regulation of blood volume,regulation of body fluid levels,multicellular organismal process,endocrine process	biological regulation,biological_process,regulation of biological quality,renal system process involved in regulation of systemic arterial blood pressure,positive regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,blood circulation,regulation of systemic arterial blood pressure mediated by a chemical signal,regulation of blood pressure,regulation of systemic arterial blood pressure by hormone,circulatory system process,positive regulation of blood pressure,renal system process,regulation of blood volume by renal aldosterone,system process,renal system process involved in regulation of blood volume,regulation of body fluid levels,multicellular organismal process,endocrine process	regulation of blood volume by renal aldosterone			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:Q16827	Receptor-type tyrosine-protein phosphatase O		GO:0003093		UniProt	NCBITaxon:9606	ISS	UniProtKB:E9Q612	PANTHER:PTHR47028	protein	UniProtKB:Q16827	GO_REF:0000024	20111005	PTPRO	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,glomerular filtration,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,renal filtration,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	regulation of glomerular filtration			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:Q16827	Receptor-type tyrosine-protein phosphatase O		GO:0003093		Ensembl	NCBITaxon:9606	IEA	UniProtKB:E9Q612,ensembl:ENSMUSP00000076364	PANTHER:PTHR47028	protein	UniProtKB:Q16827	GO_REF:0000107	20250313	PTPRO	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,glomerular filtration,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,renal filtration,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	regulation of glomerular filtration			renal_system_process_involved_in_regulation_of_blood_volume
